regime,start_date,end_date,weeks,geometric_strategy_return,arithmetic_strategy_return,arithmetic_style_return,arithmetic_residual_return,factor,total_contribution,contribution_pct_of_strategy_arithmetic,contribution_pct_of_style_arithmetic,avg_abs_exposure,avg_weekly_factor_return
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,TOPSI,-0.07319494828192344,-0.03902481075777657,-0.10248256719742546,0.30245335401758155,0.0008902184561874212
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,STOQ,-0.08529561105782954,-0.045476431886799625,-0.11942508871255364,0.26878400891734394,0.001628258248973742
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,STYLE_TOTAL,0.714218527926984,0.38079462512485673,1.0,,
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,RESIDUAL,1.1613818109507057,0.6192053748751434,,,
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,STRATEGY_TOTAL,1.8756003388776894,1.0,,,
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,BETA,0.10349387150936436,0.18537857978853897,1.01625464151463,0.7869574291814935,0.009957883470924226
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,TOPSI,0.05268451718686234,0.09436868899103568,0.5173338705592984,0.3706440249904123,-0.009538625499455436
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,STOQ,0.031494850252021075,0.056413684455162136,0.30926263831504835,0.4586803704021374,0.00499982602072549
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,STOM,0.02076128317539902,0.03718768206767606,0.20386473211498124,0.4488484515046594,0.004424465011475032
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,RESVOL,0.01696450070755456,0.03038687220917787,0.1665823524967912,0.4317147651013234,0.0018370605218237062
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,EYIELD,0.011286183768635156,0.02021585131321266,0.11082430749365443,0.8448654371068404,-0.0010488297518882472
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,LP,0.011286183768634437,0.020215851313211373,0.11082430749364738,0.8448654371068404,-0.001048829751888164
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,MLEV,0.010882006264651994,0.019491887173325444,0.1068554998876744,0.21012473538677925,-0.0001895323092248787
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,CAPX,0.004495839925135327,0.008052963988334202,0.044146751153397105,0.3835165143397932,-0.0010975127060436907
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,ROA,0.0016891934369583543,0.003025689113418924,0.01658697897459225,0.7872697417077781,-0.0012291074111512497
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,CFP,0.0007304541156633478,0.001308391932657697,0.007172669981615039,0.43511637176590795,-0.00012195528430142266
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,SP,-7.838748792813634e-05,-0.00014040793887968843,-0.0007697233399605949,0.30648345230148544,-0.0007145148449693254
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,EGRO,-0.0006997793965680617,-0.0012534472699606213,-0.0068714605940145244,0.28224249879239566,0.00033176505748154045
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,SGRO,-0.0008656487916324938,-0.0015505531027890543,-0.008500209621962532,0.42982204613113634,0.0002093775989666554
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,AGRO,-0.0016493287009792508,-0.0029542832607662613,-0.016195528520756886,0.4019733373492664,-0.0004563911848318447
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,SEASON,-0.001918835651179346,-0.0034370250399904886,-0.01884194308682631,0.42583548274825306,-0.0007481071801443787
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,ROE,-0.001958553751034758,-0.003508168237512377,-0.019231953652104578,0.7603836634338107,-0.0001988142478510276
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,MOMENTUM,-0.0024330217881450788,-0.004358037022898462,-0.0238909768187089,0.5199492582049458,-0.0017739920515603043
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,MIDCAP,-0.00578311109687973,-0.010358728553331791,-0.0567870677643653,0.27914296714225734,-0.00069514528542818
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,SIZE,-0.009613009769127101,-0.017218856271435254,-0.09439463085422362,0.48039712528883305,-0.0006092069093401412
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,BLEV,-0.010205156260929363,-0.01827951111095526,-0.10020919370682889,0.24802286133280896,0.0012515281887907441
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,HISTVOL,-0.012210522646791651,-0.021871530301513703,-0.11990082247525863,0.706873350381577,-0.0014396598134874723
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,BTOP,-0.014797642502625113,-0.026505588315023632,-0.14530496016284647,0.36838420210215195,-0.00022824722609888584
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,RESMOM,-0.049913651596145886,-0.0894055049831259,-0.4901254477173334,0.39827396682301536,0.010530125554698769
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,LIQUIDITY,-0.05180371184250491,-0.09279098741870286,-0.5086848316701392,0.294787960419478,-0.015231936715514547
jump_2024_q4,2024-09-23,2024-12-09,12,0.6289802147682058,0.5582838730743306,0.10183852282840909,0.45644535024592153,STYLE_TOTAL,0.10183852282840909,0.18241351351886567,1.0,,
