fold,train_start_year,train_end_year,test_start_year,test_end_year,scenario,description,max_turnover,buffer_multiplier,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,mean_actual_stock_count,train_rank
2,2021,2023,2024,2024,tc60_buf3,"max_turnover=60%, buffer=3x",0.6,3.0,0.6329015787794281,0.19007256599901182,0.14394875899504767,0.8531955205773434,-0.12856239547166742,-0.13627794335077292,0.8797238116640763,0.9000586004735103,0.051401656632961173,0.1648334357370379,0.2388854838164508,115.69298245614034,12
2,2021,2023,2024,2024,tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,0.6245201909605266,0.16659031838229554,0.15494758119770413,0.7217190473711549,-0.1481053372081288,-0.15047650678198443,0.8565330451649753,0.956635868146749,0.01565777632891654,0.11134354530490087,0.0860619753952699,106.70760233918128,13
2,2021,2023,2024,2024,tc40_buf1p5,"max_turnover=40%, buffer=1.5x",0.4,1.5,0.620289777649075,0.1815437480416796,0.1366720744079304,0.8100924258793101,-0.1328910660392162,-0.1343030213498949,0.8686528007872376,0.926202065039055,0.03350179954164673,0.13872235142393605,0.16255090070110145,111.16447368421053,14
2,2021,2023,2024,2024,tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,0.5947208572352466,0.1710546729247152,0.14320664740936917,0.755610109113436,-0.14253300322883902,-0.14436592636836387,0.8657613076898547,0.9428597095669462,0.024220579081356625,0.14120580482499043,0.12348468958897094,108.7470760233918,15
2,2021,2023,2024,2024,tc60_buf4,"max_turnover=60%, buffer=4x",0.6,4.0,0.5555177954531906,0.17743392691653642,0.13435563638000403,0.7876356344540334,-0.12890103111477882,-0.13635759136973347,0.8786309320829644,0.8991690115111118,0.051193184241980466,0.15779204332323252,0.23912355274353844,115.96125730994153,16
2,2021,2023,2024,2024,tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,0.540359926905077,0.16647365698149752,0.12998051417679202,0.7217062187966365,-0.13607622638459838,-0.13852667489760628,0.8581092040906095,0.9366724006641198,0.024088468531815052,0.13609492865966105,0.12664548280013857,110.21345029239767,17
2,2021,2023,2024,2024,tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,0.47552062910189263,0.1584467300427499,0.1452145020920954,0.6713181643559923,-0.15469628625360698,-0.1569406061298383,0.8376846284908023,0.9515819495275879,0.014811172894786086,0.13897584280273365,0.08574950518483032,107.34429824561404,18
2,2021,2023,2024,2024,tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,0.46529663804918964,0.15431232183527793,0.13331854627960515,0.6621603479072962,-0.16042028280254655,-0.16154290184619602,0.8544605396176039,0.9578434251671148,0.014549345813025867,0.1027603694407352,0.08468532179785798,106.46418128654972,19
2,2021,2023,2024,2024,tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,0.2179287945254828,0.11820922922927807,0.09911870112359811,0.4800868143713262,-0.15476921827396467,-0.15605293920841956,0.8370054657089321,0.95471252737079,0.013920166034959634,0.08714785072738057,0.0828681300224357,106.48172514619883,20
3,2022,2024,2025,2025,tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,0.8408956486783716,0.08728965120155802,0.052638775605760024,0.18195095336556885,-0.2088932134341782,-0.21707301730888096,0.8721394376599843,0.911393378224856,0.0406917473083859,0.059027769068061835,0.20208742820227468,113.61769005847952,1
3,2022,2024,2025,2025,tc50_buf4,"max_turnover=50%, buffer=4x",0.5,4.0,0.8117140728687867,0.08502178059338189,0.054013658842395174,0.17611954239356498,-0.2098797585045128,-0.21675826416364596,0.8646416753917516,0.9061770699325022,0.039305314758904183,0.060114290244625994,0.20327918668837347,115.10233918128655,2
3,2022,2024,2025,2025,tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,0.7958543751431155,0.08367324067334521,0.05407985007669014,0.17146636510326832,-0.21487968577722008,-0.2210526717390452,0.8742084388568476,0.9107944934064837,0.04223889278446785,0.0659717971734774,0.203717814742624,113.74342105263158,3
3,2022,2024,2025,2025,tc50_buf1p5,"max_turnover=50%, buffer=1.5x",0.5,1.5,0.7863076358573111,0.07881564638106214,0.048486990373077354,0.15636141375526363,-0.20975359627571588,-0.2153428579573391,0.8733547172862576,0.912755702335963,0.04111241888497786,0.05391030259778978,0.201071558915407,113.30994152046783,4
3,2022,2024,2025,2025,tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,0.7696354829815808,0.07818485546481699,0.04822966228699377,0.15270624468153157,-0.21731740408429345,-0.22203219955460518,0.8686171529472674,0.925700737242662,0.032217474004174115,0.062102516406425085,0.16357493252458327,111.50877192982456,5
3,2022,2024,2025,2025,tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,0.766677916239768,0.07995305005416571,0.05386452552112542,0.15805446703882028,-0.22051863804968436,-0.22406962707523648,0.8633761512507944,0.9215922092460526,0.031059406778628777,0.07011492055949009,0.16566181079973155,112.45979532163743,6
3,2022,2024,2025,2025,tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,0.757290764594094,0.07699844980277654,0.053029149568777134,0.14962255431954893,-0.2229539508739085,-0.22636363276308014,0.8658307558949394,0.9234054084661203,0.03126834586147102,0.0652347409716321,0.16492795355757986,112.23684210526316,7
3,2022,2024,2025,2025,tc60_buf1p5,"max_turnover=60%, buffer=1.5x",0.6,1.5,0.6493853624970761,0.06713015309137235,0.03629406601780527,0.11916586348987927,-0.21021323536012165,-0.2162952726520938,0.8810938020857506,0.9021101186592223,0.051758287260442765,0.05011634158888615,0.23813134291345664,114.80994152046785,8
3,2022,2024,2025,2025,tc60_buf4,"max_turnover=60%, buffer=4x",0.6,4.0,0.6408874626376816,0.0661407067539119,0.037870657503901395,0.11576637389207228,-0.211313797848221,-0.21583077984087673,0.8772899855760016,0.8981810494114859,0.051012632925522855,0.04853040193238303,0.23975029512604948,115.84283625730993,9
3,2022,2024,2025,2025,tc40_buf1p5,"max_turnover=40%, buffer=1.5x",0.4,1.5,0.6259544107687537,0.06328437870189768,0.03781248554470262,0.10597045489906215,-0.22210090985368364,-0.22942080088412375,0.8705823141662841,0.9272984887891904,0.032833906304104495,0.06307729484213458,0.1626434244246842,110.97368421052632,10
3,2022,2024,2025,2025,tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,0.6135313867115005,0.05825743708466925,0.03549157905476297,0.08945835798976884,-0.22655484966845263,-0.23556564951780468,0.8579511671803236,0.9371517615227835,0.0227079389248451,0.0514069222506914,0.12615539946577742,110.11988304093568,11
3,2022,2024,2025,2025,tc60_buf3,"max_turnover=60%, buffer=3x",0.6,3.0,0.607477663272771,0.06738281957328976,0.03584185505160087,0.11969028400018014,-0.21401042642964768,-0.21867819354562257,0.8786153603522524,0.8991463193831923,0.05160341090005427,0.06010060339185057,0.23959433172725536,115.57748538011694,12
3,2022,2024,2025,2025,tc60_buf2,"max_turnover=60%, buffer=2x",0.6,2.0,0.573188734265135,0.0642542809270595,0.030806973304659424,0.1094755581821554,-0.21327175093687126,-0.21832054227276276,0.8835489523873985,0.9022273601075147,0.0533838927659898,0.062103368330991296,0.23937439481965908,114.61184210526315,13
3,2022,2024,2025,2025,tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,0.5398270809555358,0.05751390722704102,0.03664890927871434,0.08698748468746648,-0.24230649920732222,-0.2509406383456092,0.859184249653626,0.9383786777694572,0.023295453640566992,0.06774834393129932,0.1250949105689364,109.75,14
3,2022,2024,2025,2025,tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,0.5038984526108332,0.051434494502005025,0.03186012418146378,0.06887446041691807,-0.25263092979476215,-0.2686792210158281,0.8347998651607085,0.9540136572996647,0.012055663116765505,0.049926741813307036,0.08319686054585534,107.15716374269006,15
3,2022,2024,2025,2025,tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,0.49969061731591724,0.05275320385279704,0.02863368021699486,0.07141827497417835,-0.23690135775249732,-0.24325030096111944,0.8624272298651667,0.9409989862817072,0.0236474733736754,0.06670101971815301,0.12376280104962983,109.01388888888889,16
3,2022,2024,2025,2025,tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,0.48276446387616484,0.049556762873504745,0.03624286043423197,0.062313233583087234,-0.2561694285615765,-0.2681725425050919,0.8505476676887193,0.9557918894682967,0.014527712936396724,0.0690939274412703,0.08549077796253884,106.76023391812866,17
3,2022,2024,2025,2025,tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,0.40818330738967296,0.042373272392433076,0.022499149995829804,0.03938567066193607,-0.24016481241359772,-0.24543574701234816,0.8598242968874985,0.941190588854217,0.023166936486550382,0.06343355267375944,0.12266233269678442,108.88084795321637,18
3,2022,2024,2025,2025,tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,0.26418139247807937,0.034397218034802494,0.017093350469471025,0.014029603830214834,-0.2673676949689403,-0.2778461328206058,0.811517461961754,0.9498215952599196,0.011219005861439,0.04845667454277065,0.08087888213479319,107.07090643274854,19
3,2022,2024,2025,2025,tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,0.1989697226263769,0.02553610687123902,0.011972580730592819,-0.014578982007059295,-0.2564815056578391,-0.26425873492484087,0.8237897602978868,0.9493180455126785,0.012310199536547247,0.06295124524495643,0.08466728603482526,107.625,20
