date,code,pct_chg,close
2020-09-16,000852.SH,-0.00997943,6812.91
2020-09-16,000905.SH,-0.005329,6353.84
2020-09-17,000852.SH,0.00179672,6825.15
2020-09-17,000905.SH,0.00207497,6367.02
2020-09-18,000852.SH,0.0153278,6929.77
2020-09-18,000905.SH,0.0160906,6469.47
2020-09-21,000852.SH,-0.000371932,6927.19
2020-09-21,000905.SH,-0.00363384,6445.96
2020-09-22,000852.SH,-0.0160834,6815.78
2020-09-22,000905.SH,-0.0135457,6358.65
2020-09-23,000852.SH,0.00692342,6862.97
2020-09-23,000905.SH,0.00524923,6392.03
2020-09-24,000852.SH,-0.0273663,6675.15
2020-09-24,000905.SH,-0.0230589,6244.64
2020-09-25,000852.SH,-0.00610671,6634.39
2020-09-25,000905.SH,-0.00124082,6236.89
2020-09-28,000852.SH,-0.0126643,6550.37
2020-09-28,000905.SH,-0.00936702,6178.47
2020-09-29,000852.SH,0.0107876,6621.03
2020-09-29,000905.SH,0.00814134,6228.77
2020-09-30,000852.SH,-0.000584954,6617.16
2020-09-30,000905.SH,-0.00582314,6192.5
2020-10-09,000852.SH,0.0310112,6822.36
2020-10-09,000905.SH,0.0267202,6357.97
2020-10-12,000852.SH,0.0313543,7036.28
2020-10-12,000905.SH,0.0288156,6541.18
2020-10-13,000852.SH,0.00250073,7053.87
2020-10-13,000905.SH,0.00156302,6551.4
2020-10-14,000852.SH,-0.00925194,6988.61
2020-10-14,000905.SH,-0.00656791,6508.37
2020-10-15,000852.SH,-0.00883765,6926.85
2020-10-15,000905.SH,-0.00742643,6460.04
2020-10-16,000852.SH,-0.00295342,6906.39
2020-10-16,000905.SH,-0.00485461,6428.68
2020-10-19,000852.SH,-0.00695479,6858.36
2020-10-19,000905.SH,-0.010945,6358.32
2020-10-20,000852.SH,0.00948163,6923.38
2020-10-20,000905.SH,0.0101896,6423.11
2020-10-21,000852.SH,-0.0156414,6815.09
2020-10-21,000905.SH,-0.0113812,6350.01
2020-10-22,000852.SH,-0.00635142,6771.81
2020-10-22,000905.SH,-0.00517684,6317.14
2020-10-23,000852.SH,-0.0192678,6641.33
2020-10-23,000905.SH,-0.0164448,6213.26
2020-10-26,000852.SH,0.00108289,6648.52
2020-10-26,000905.SH,0.000179777,6214.38
2020-10-27,000852.SH,0.00511642,6682.54
2020-10-27,000905.SH,0.00112031,6221.34
2020-10-28,000852.SH,0.00043268,6685.43
2020-10-28,000905.SH,0.00396361,6246.0
2020-10-29,000852.SH,-0.0015986,6674.74
2020-10-29,000905.SH,0.0014715,6255.19
2020-10-30,000852.SH,-0.0245079,6511.16
2020-10-30,000905.SH,-0.022975,6111.48
2020-11-02,000852.SH,0.000403907,6513.79
2020-11-02,000905.SH,0.00517714,6143.12
2020-11-03,000852.SH,0.0205391,6647.58
2020-11-03,000905.SH,0.0160593,6241.77
2020-11-04,000852.SH,-0.00224034,6632.68
2020-11-04,000905.SH,-0.00121889,6234.16
2020-11-05,000852.SH,0.0184341,6754.95
2020-11-05,000905.SH,0.0188994,6351.98
2020-11-06,000852.SH,-0.00981313,6688.66
2020-11-06,000905.SH,-0.00798633,6301.25
2020-11-09,000852.SH,0.0244176,6851.98
2020-11-09,000905.SH,0.0191076,6421.65
2020-11-10,000852.SH,-0.0105798,6779.49
2020-11-10,000905.SH,-0.00756207,6373.09
2020-11-11,000852.SH,-0.017075,6663.73
2020-11-11,000905.SH,-0.0123135,6294.61
2020-11-12,000852.SH,0.0019045,6676.42
2020-11-12,000905.SH,0.00331776,6315.49
2020-11-13,000852.SH,0.00149322,6686.39
2020-11-13,000905.SH,-0.0013497,6306.97
2020-11-16,000852.SH,0.0091857,6747.81
2020-11-16,000905.SH,0.0127478,6387.37
2020-11-17,000852.SH,-0.00979386,6681.72
2020-11-17,000905.SH,-0.00789542,6336.94
2020-11-18,000852.SH,6.00743e-05,6682.12
2020-11-18,000905.SH,0.000642108,6341.01
2020-11-19,000852.SH,0.0054374,6718.46
2020-11-19,000905.SH,0.00308878,6360.6
2020-11-20,000852.SH,0.0070853,6766.06
2020-11-20,000905.SH,0.00980882,6422.99
2020-11-23,000852.SH,0.00615676,6807.72
2020-11-23,000905.SH,0.00777598,6472.93
2020-11-24,000852.SH,4.11151e-05,6808.0
2020-11-24,000905.SH,0.000349146,6475.19
2020-11-25,000852.SH,-0.0170569,6691.87
2020-11-25,000905.SH,-0.0192764,6350.37
2020-11-26,000852.SH,-0.00727588,6643.18
2020-11-26,000905.SH,-0.00253009,6334.3
2020-11-27,000852.SH,-0.000212428,6641.77
