scenario,description,max_turnover,buffer_multiplier,cost_bps,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav,net_annual_return,net_sharpe_ratio,net_max_drawdown,annual_return_drag
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,5,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,3.710730160652383,0.2514732259196393,0.7340909062388606,-0.36633267676470527,0.009672347633300937
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,10,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,3.547412763226898,0.24187362578088756,0.7023595700040365,-0.36993511435942605,0.019271947772052656
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,20,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,3.2419597880068234,0.22289052644287288,0.6395896759510338,-0.3770802646536503,0.03825504711006733
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,50,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,2.4741433218414244,0.16763217875455205,0.4567031360909638,-0.3980455820769101,0.09351339479838816
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,100,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,1.5759832060261425,0.08092755628192738,0.16920170770405757,-0.45476342824276184,0.18021801727101283
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,0,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,0.0
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,5,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,3.934068677989584,0.2640490967910081,0.7724297523209073,-0.35362628834546384,0.009769543635852473
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,10,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,3.760921661104537,0.25435303167860734,0.7405221998927273,-0.35730096253761723,0.019465608748253205
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,20,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,3.4370843217166502,0.23517917395993426,0.6774037633689909,-0.36854191812628434,0.03863946646692629
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,50,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,2.6230551201282246,0.17936554324142095,0.49350204794050406,-0.4049954090822875,0.0944530971854396
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,100,301,0.2990033222591362,0.5092358803986711,0.24979329233120703,19.63915779498538,23.196013289036546,4.115159329999666,0.27381864042686055,0.804571784810832,-0.34993115993681423,1.670837247506846,0.09178963873608215,0.20440586311098688,-0.4611992425535366,0.1820290016907784
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,0,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,0.0
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,5,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,3.753828887433525,0.2539480142960264,0.7407422509617756,-0.3565354166770287,0.009691474701302605
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,10,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,3.588614620231594,0.2443294309474462,0.7090155449588105,-0.36086715472845654,0.01931005804988284
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,20,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,3.279613924279068,0.22530879252939684,0.6462548078313153,-0.3734031106441118,0.03833069646793219
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,50,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,2.502879560379089,0.1699411714553376,0.46339492866648535,-0.4095759694527559,0.09369831754199143
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,100,301,0.2990033222591362,0.5082392026578074,0.24727272328776068,20.963578324148354,22.40531561461794,3.926622851240722,0.26363948899732903,0.7727020929502073,-0.35285691889946535,1.5942876546568772,0.08306509058677602,0.17593535183813125,-0.4667292762579561,0.180574398410553
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,0,301,0.2990033222591362,0.5069767441860465,0.24581105364623473,21.73541824602982,22.046511627906977,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,3.9489821602921316,0.26486758439263514,0.7807024393986047,-0.34603388495304355,0.0
