scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
tc20_buf4,100,2023,50,0.19655428128042884,0.08257867855757484,0.19999999999999996,0.54
tc20_buf4,100,2024,52,-0.11581979731904057,-0.20323741214501,0.19999999999999993,0.5192307692307693
tc20_buf4,100,2025,51,0.410184127294807,0.2733078827658366,0.19999999999999996,0.6274509803921569
tc30_buf1,0,2020,46,0.38211220048675587,0.38211220048675587,0.2934782608695653,0.5
tc30_buf1,0,2021,52,0.599675199457,0.599675199457,0.30000000000000004,0.6730769230769231
tc30_buf1,0,2022,50,0.2444813160396595,0.2444813160396595,0.30000000000000004,0.56
tc30_buf1,0,2023,50,0.10167566500386038,0.10167566500386038,0.30000000000000004,0.5
tc30_buf1,0,2024,52,-0.0405878422120074,-0.0405878422120074,0.30000000000000004,0.5576923076923077
tc30_buf1,0,2025,51,0.33469374320933865,0.33469374320933865,0.30000000000000004,0.6274509803921569
tc30_buf1,5,2020,46,0.38211220048675587,0.37281366359578016,0.2934782608695653,0.5
tc30_buf1,5,2021,52,0.599675199457,0.5872453401139666,0.30000000000000004,0.6730769230769231
tc30_buf1,5,2022,50,0.2444813160396595,0.2351819250080902,0.30000000000000004,0.56
tc30_buf1,5,2023,50,0.10167566500386038,0.09344338970427035,0.30000000000000004,0.5
tc30_buf1,5,2024,52,-0.0405878422120074,-0.0480427044098769,0.30000000000000004,0.5576923076923077
tc30_buf1,5,2025,51,0.33469374320933865,0.32452153146104856,0.30000000000000004,0.6274509803921569
tc30_buf1,10,2020,46,0.38211220048675587,0.3635763041125226,0.2934782608695653,0.5
tc30_buf1,10,2021,52,0.599675199457,0.574910220555388,0.30000000000000004,0.6538461538461539
tc30_buf1,10,2022,50,0.2444813160396595,0.22595064409974785,0.30000000000000004,0.56
tc30_buf1,10,2023,50,0.10167566500386038,0.08527140881354911,0.30000000000000004,0.48
tc30_buf1,10,2024,52,-0.0405878422120074,-0.05544074600999882,0.30000000000000004,0.5576923076923077
tc30_buf1,10,2025,51,0.33469374320933865,0.314425337274419,0.30000000000000004,0.6274509803921569
tc30_buf1,20,2020,46,0.38211220048675587,0.3452835461901467,0.2934782608695653,0.5
tc30_buf1,20,2021,52,0.599675199457,0.5505213737819843,0.30000000000000004,0.6538461538461539
tc30_buf1,20,2022,50,0.2444813160396595,0.207690461122511,0.30000000000000004,0.56
tc30_buf1,20,2023,50,0.10167566500386038,0.06910660266880342,0.30000000000000004,0.48
tc30_buf1,20,2024,52,-0.0405878422120074,-0.0700680629283178,0.30000000000000004,0.5576923076923077
tc30_buf1,20,2025,51,0.33469374320933865,0.29445877835996503,0.30000000000000004,0.6274509803921569
tc30_buf1,50,2020,46,0.38211220048675587,0.29183312061338795,0.2934782608695653,0.5
tc30_buf1,50,2021,52,0.599675199457,0.479556010306722,0.30000000000000004,0.6346153846153846
tc30_buf1,50,2022,50,0.2444813160396595,0.15449442765823052,0.30000000000000004,0.56
tc30_buf1,50,2023,50,0.10167566500386038,0.022014874744088697,0.30000000000000004,0.48
tc30_buf1,50,2024,52,-0.0405878422120074,-0.11262984829769918,0.30000000000000004,0.5192307692307693
tc30_buf1,50,2025,51,0.33469374320933865,0.23632643142286125,0.30000000000000004,0.6274509803921569
tc30_buf1,100,2020,46,0.38211220048675587,0.20732842237204951,0.2934782608695653,0.5
tc30_buf1,100,2021,52,0.599675199457,0.3682959578286238,0.30000000000000004,0.6346153846153846
tc30_buf1,100,2022,50,0.2444813160396595,0.07089353397534559,0.30000000000000004,0.56
tc30_buf1,100,2023,50,0.10167566500386038,-0.05199272099556018,0.30000000000000004,0.48
tc30_buf1,100,2024,52,-0.0405878422120074,-0.17935854863627365,0.30000000000000004,0.5192307692307693
tc30_buf1,100,2025,51,0.33469374320933865,0.14507701833307096,0.30000000000000004,0.6078431372549019
tc30_buf2,0,2020,46,0.40908094514024285,0.40908094514024285,0.2934782608695653,0.5
tc30_buf2,0,2021,52,0.6389054911731846,0.6389054911731846,0.30000000000000004,0.6538461538461539
tc30_buf2,0,2022,50,0.24649815015614562,0.24649815015614562,0.30000000000000004,0.58
tc30_buf2,0,2023,50,0.10500942376374645,0.10500942376374645,0.30000000000000004,0.5
tc30_buf2,0,2024,52,-0.05238765654299604,-0.05238765654299604,0.30000000000000004,0.5576923076923077
tc30_buf2,0,2025,51,0.365238330872631,0.365238330872631,0.30000000000000004,0.6274509803921569
tc30_buf2,5,2020,46,0.40908094514024285,0.39960096866210626,0.2934782608695653,0.5
tc30_buf2,5,2021,52,0.6389054911731846,0.626170803069797,0.30000000000000004,0.6538461538461539
tc30_buf2,5,2022,50,0.24649815015614562,0.23718368832451375,0.30000000000000004,0.58
tc30_buf2,5,2023,50,0.10500942376374645,0.09675223694004242,0.30000000000000004,0.5
tc30_buf2,5,2024,52,-0.05238765654299604,-0.059750831358040934,0.30000000000000004,0.5576923076923077
tc30_buf2,5,2025,51,0.365238330872631,0.3548333271336255,0.30000000000000004,0.6274509803921569
tc30_buf2,10,2020,46,0.40908094514024285,0.3901833633282681,0.2934782608695653,0.5
tc30_buf2,10,2021,52,0.6389054911731846,0.6135331781408804,0.30000000000000004,0.6538461538461539
tc30_buf2,10,2022,50,0.24649815015614562,0.22793744699689156,0.30000000000000004,0.58
tc30_buf2,10,2023,50,0.10500942376374645,0.08855552698091684,0.30000000000000004,0.5
tc30_buf2,10,2024,52,-0.05238765654299604,-0.06705788441211868,0.30000000000000004,0.5576923076923077
tc30_buf2,10,2025,51,0.365238330872631,0.3445060806250957,0.30000000000000004,0.6274509803921569
tc30_buf2,20,2020,46,0.40908094514024285,0.37153366425651035,0.2934782608695653,0.5
tc30_buf2,20,2021,52,0.6389054911731846,0.5885462214674988,0.30000000000000004,0.6538461538461539
tc30_buf2,20,2022,50,0.24649815015614562,0.20964767116074357,0.30000000000000004,0.58
tc30_buf2,20,2023,50,0.10500942376374645,0.07234180483865993,0.30000000000000004,0.48
tc30_buf2,20,2024,52,-0.05238765654299604,-0.08150529989558952,0.30000000000000004,0.5576923076923077
tc30_buf2,20,2025,51,0.365238330872631,0.32408258519452926,0.30000000000000004,0.6274509803921569
tc30_buf2,50,2020,46,0.40908094514024285,0.31704027640903765,0.2934782608695653,0.4782608695652174
tc30_buf2,50,2021,52,0.6389054911731846,0.5158405097566536,0.30000000000000004,0.6538461538461539
tc30_buf2,50,2022,50,0.24649815015614562,0.1563654270207624,0.30000000000000004,0.56
tc30_buf2,50,2023,50,0.10500942376374645,0.025107573575191333,0.30000000000000004,0.48
tc30_buf2,50,2024,52,-0.05238765654299604,-0.1235436176802851,0.30000000000000004,0.5192307692307693
tc30_buf2,50,2025,51,0.365238330872631,0.2646198742123942,0.30000000000000004,0.6078431372549019
tc30_buf2,100,2020,46,0.40908094514024285,0.2308866631027089,0.2934782608695653,0.4782608695652174
tc30_buf2,100,2021,52,0.6389054911731846,0.40185192568879535,0.30000000000000004,0.6346153846153846
tc30_buf2,100,2022,50,0.24649815015614562,0.07262904786905233,0.30000000000000004,0.56
tc30_buf2,100,2023,50,0.10500942376374645,-0.04912397507403998,0.30000000000000004,0.48
tc30_buf2,100,2024,52,-0.05238765654299604,-0.18945162144111583,0.30000000000000004,0.4807692307692308
tc30_buf2,100,2025,51,0.365238330872631,0.17128221000767652,0.30000000000000004,0.6078431372549019
tc30_buf3,0,2020,46,0.41957691931578567,0.41957691931578567,0.2934782608695653,0.5
tc30_buf3,0,2021,52,0.6073059777029657,0.6073059777029657,0.30000000000000004,0.6538461538461539
tc30_buf3,0,2022,50,0.21450045649167238,0.21450045649167238,0.30000000000000004,0.6
tc30_buf3,0,2023,50,0.1141909102509413,0.1141909102509413,0.30000000000000004,0.5
tc30_buf3,0,2024,52,-0.05728747794296363,-0.05728747794296363,0.30000000000000004,0.5576923076923077
tc30_buf3,0,2025,51,0.3490409438002713,0.3490409438002713,0.30000000000000004,0.6274509803921569
tc30_buf3,5,2020,46,0.41957691931578567,0.41002632830791597,0.2934782608695653,0.5
tc30_buf3,5,2021,52,0.6073059777029657,0.594816825385766,0.30000000000000004,0.6538461538461539
tc30_buf3,5,2022,50,0.21450045649167238,0.2054250975390146,0.30000000000000004,0.6
tc30_buf3,5,2023,50,0.1141909102509413,0.10586511473701843,0.30000000000000004,0.5
tc30_buf3,5,2024,52,-0.05728747794296363,-0.06461257997246472,0.30000000000000004,0.5576923076923077
tc30_buf3,5,2025,51,0.3490409438002713,0.3387593865462062,0.30000000000000004,0.6274509803921569
tc30_buf3,10,2020,46,0.41957691931578567,0.40053857303505414,0.2934782608695653,0.5
tc30_buf3,10,2021,52,0.6073059777029657,0.5824228647811942,0.30000000000000004,0.6538461538461539
tc30_buf3,10,2022,50,0.21450045649167238,0.19641620786531222,0.30000000000000004,0.58
tc30_buf3,10,2023,50,0.1141909102509413,0.0976002985879243,0.30000000000000004,0.5
tc30_buf3,10,2024,52,-0.05728747794296363,-0.07188185042992246,0.30000000000000004,0.5576923076923077
