scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
tc30_buf2,5,2025,51,0.7566306634608855,0.7432427089858018,0.30000000000000004,0.7254901960784313
tc30_buf2,10,2020,46,0.2990205268685875,0.2815989963549579,0.2934782608695653,0.5434782608695652
tc30_buf2,10,2021,52,0.4841076608375343,0.46113181241478296,0.30000000000000004,0.7115384615384616
tc30_buf2,10,2022,50,0.2115572041758227,0.1935167813927261,0.30000000000000004,0.6
tc30_buf2,10,2023,50,0.13037667048414514,0.1135450483623035,0.30000000000000004,0.48
tc30_buf2,10,2024,52,0.048822189340218314,0.03258510608771337,0.30000000000000004,0.5192307692307693
tc30_buf2,10,2025,51,0.7566306634608855,0.7299548035148131,0.30000000000000004,0.7254901960784313
tc30_buf2,20,2020,46,0.2990205268685875,0.26440598696987627,0.2934782608695653,0.5434782608695652
tc30_buf2,20,2021,52,0.4841076608375343,0.43850492268886243,0.30000000000000004,0.7115384615384616
tc30_buf2,20,2022,50,0.2115572041758227,0.17573969149149593,0.30000000000000004,0.6
tc30_buf2,20,2023,50,0.13037667048414514,0.09695911447144567,0.30000000000000004,0.44
tc30_buf2,20,2024,52,0.048822189340218314,0.016594632723466063,0.30000000000000004,0.5192307692307693
tc30_buf2,20,2025,51,0.7566306634608855,0.7036762135301233,0.30000000000000004,0.7254901960784313
tc30_buf2,50,2020,46,0.2990205268685875,0.21416896571384791,0.2934782608695653,0.5434782608695652
tc30_buf2,50,2021,52,0.4841076608375343,0.3726664077056294,0.30000000000000004,0.6923076923076923
tc30_buf2,50,2022,50,0.2115572041758227,0.12395101716866352,0.30000000000000004,0.6
tc30_buf2,50,2023,50,0.13037667048414514,0.048640546393884376,0.30000000000000004,0.44
tc30_buf2,50,2024,52,0.048822189340218314,-0.02993359245169036,0.30000000000000004,0.5192307692307693
tc30_buf2,50,2025,51,0.7566306634608855,0.6271664796018603,0.30000000000000004,0.7254901960784313
tc30_buf2,100,2020,46,0.2990205268685875,0.13474463417717986,0.2934782608695653,0.5
tc30_buf2,100,2021,52,0.4841076608375343,0.2694442684338687,0.30000000000000004,0.5769230769230769
tc30_buf2,100,2022,50,0.2115572041758227,0.04256187639846298,0.30000000000000004,0.58
tc30_buf2,100,2023,50,0.13037667048414514,-0.027295105377481255,0.30000000000000004,0.44
tc30_buf2,100,2024,52,0.048822189340218314,-0.10288090817290452,0.30000000000000004,0.4807692307692308
tc30_buf2,100,2025,51,0.7566306634608855,0.5070703767529015,0.30000000000000004,0.7058823529411765
tc30_buf3,0,2020,46,0.34476385271128085,0.34476385271128085,0.2934782608695653,0.5434782608695652
tc30_buf3,0,2021,52,0.48259143780123526,0.48259143780123526,0.30000000000000004,0.7307692307692307
tc30_buf3,0,2022,50,0.2306141101146042,0.2306141101146042,0.30000000000000004,0.6
tc30_buf3,0,2023,50,0.11905881541673669,0.11905881541673669,0.30000000000000004,0.46
tc30_buf3,0,2024,52,0.06398019299155377,0.06398019299155377,0.30000000000000004,0.5384615384615384
tc30_buf3,0,2025,51,0.7688087356537734,0.7688087356537734,0.30000000000000004,0.7254901960784313
tc30_buf3,5,2020,46,0.34476385271128085,0.3357165870191874,0.2934782608695653,0.5434782608695652
tc30_buf3,5,2021,52,0.48259143780123526,0.47107134732204825,0.30000000000000004,0.7307692307692307
tc30_buf3,5,2022,50,0.2306141101146042,0.2214183418283111,0.30000000000000004,0.6
tc30_buf3,5,2023,50,0.11905881541673669,0.11069664446426053,0.30000000000000004,0.46
tc30_buf3,5,2024,52,0.06398019299155377,0.055712812121269106,0.30000000000000004,0.5384615384615384
tc30_buf3,5,2025,51,0.7688087356537734,0.75532796743047,0.30000000000000004,0.7254901960784313
tc30_buf3,10,2020,46,0.34476385271128085,0.32672884555853954,0.2934782608695653,0.5434782608695652
tc30_buf3,10,2021,52,0.48259143780123526,0.4596390624132072,0.30000000000000004,0.7307692307692307
tc30_buf3,10,2022,50,0.2306141101146042,0.2122899247168426,0.30000000000000004,0.6
tc30_buf3,10,2023,50,0.11905881541673669,0.10239571929573743,0.30000000000000004,0.46
tc30_buf3,10,2024,52,0.06398019299155377,0.04750844482660588,0.30000000000000004,0.5384615384615384
tc30_buf3,10,2025,51,0.7688087356537734,0.7419479418140904,0.30000000000000004,0.7058823529411765
tc30_buf3,20,2020,46,0.34476385271128085,0.30893040660998805,0.2934782608695653,0.5434782608695652
tc30_buf3,20,2021,52,0.48259143780123526,0.43703528921201684,0.30000000000000004,0.7115384615384616
tc30_buf3,20,2022,50,0.2306141101146042,0.19423321423397777,0.30000000000000004,0.6
tc30_buf3,20,2023,50,0.11905881541673669,0.08597585146129982,0.30000000000000004,0.46
tc30_buf3,20,2024,52,0.06398019299155377,0.031286870656038746,0.30000000000000004,0.5384615384615384
tc30_buf3,20,2025,51,0.7688087356537734,0.7154871720618383,0.30000000000000004,0.7058823529411765
tc30_buf3,50,2020,46,0.34476385271128085,0.25692435369883926,0.2934782608695653,0.5434782608695652
tc30_buf3,50,2021,52,0.48259143780123526,0.37126403745754155,0.30000000000000004,0.7115384615384616
tc30_buf3,50,2022,50,0.2306141101146042,0.1416299420598326,0.30000000000000004,0.56
tc30_buf3,50,2023,50,0.11905881541673669,0.03814107127926469,0.30000000000000004,0.46
tc30_buf3,50,2024,52,0.06398019299155377,-0.015913799299807296,0.30000000000000004,0.5384615384615384
tc30_buf3,50,2025,51,0.7688087356537734,0.6384470243803504,0.30000000000000004,0.7058823529411765
tc30_buf3,100,2020,46,0.34476385271128085,0.17470319716812965,0.2934782608695653,0.5
tc30_buf3,100,2021,52,0.48259143780123526,0.26814735400246437,0.30000000000000004,0.5961538461538461
tc30_buf3,100,2022,50,0.2306141101146042,0.058960609818070386,0.30000000000000004,0.56
tc30_buf3,100,2023,50,0.11905881541673669,-0.037034277556240114,0.30000000000000004,0.42
tc30_buf3,100,2024,52,0.06398019299155377,-0.08991537921307968,0.30000000000000004,0.5
tc30_buf3,100,2025,51,0.7688087356537734,0.5175183395658107,0.30000000000000004,0.7058823529411765
tc40_buf1p5,0,2020,46,0.2841171391292059,0.2841171391292059,0.3913043478260868,0.5652173913043478
tc40_buf1p5,0,2021,52,0.5168756165120261,0.5168756165120261,0.39999999999999986,0.7307692307692307
tc40_buf1p5,0,2022,50,0.24593310833162807,0.24593310833162807,0.3999999999999999,0.62
tc40_buf1p5,0,2023,50,0.1474799076271185,0.1474799076271185,0.3999999999999999,0.5
tc40_buf1p5,0,2024,52,0.08859303405108543,0.08859303405108543,0.39999999999999986,0.5192307692307693
tc40_buf1p5,0,2025,51,0.8365282705036066,0.8365282705036066,0.3999999999999999,0.7254901960784313
tc40_buf1p5,5,2020,46,0.2841171391292059,0.27261079044839676,0.3913043478260868,0.5652173913043478
tc40_buf1p5,5,2021,52,0.5168756165120261,0.5011802976551822,0.39999999999999986,0.7307692307692307
tc40_buf1p5,5,2022,50,0.24593310833162807,0.23353463306656774,0.3999999999999999,0.62
tc40_buf1p5,5,2023,50,0.1474799076271185,0.13606115556352028,0.3999999999999999,0.5
tc40_buf1p5,5,2024,52,0.08859303405108543,0.07732921347886479,0.39999999999999986,0.5192307692307693
tc40_buf1p5,5,2025,51,0.8365282705036066,0.8178890398535976,0.3999999999999999,0.7058823529411765
tc40_buf1p5,10,2020,46,0.2841171391292059,0.26120527347784983,0.3913043478260868,0.5652173913043478
tc40_buf1p5,10,2021,52,0.5168756165120261,0.485644289023061,0.39999999999999986,0.7307692307692307
tc40_buf1p5,10,2022,50,0.24593310833162807,0.22125709347441336,0.3999999999999999,0.62
tc40_buf1p5,10,2023,50,0.1474799076271185,0.12475378287803007,0.3999999999999999,0.5
tc40_buf1p5,10,2024,52,0.08859303405108543,0.06617972265062111,0.39999999999999986,0.5192307692307693
tc40_buf1p5,10,2025,51,0.8365282705036066,0.7994353095326794,0.3999999999999999,0.7058823529411765
tc40_buf1p5,20,2020,46,0.2841171391292059,0.23869328712552784,0.3913043478260868,0.5652173913043478
tc40_buf1p5,20,2021,52,0.5168756165120261,0.455043875358345,0.39999999999999986,0.6923076923076923
tc40_buf1p5,20,2022,50,0.24593310833162807,0.19706020903747512,0.3999999999999999,0.62
tc40_buf1p5,20,2023,50,0.1474799076271185,0.10246892783012207,0.3999999999999999,0.48
