scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l20_s10_b2_e1_n80_tc50_buf2,"L=20, S=10, bins=2, E=1, top_n=80, tc50_buf2",20,10,2,1,80,0.39726956032778493,0.18966238367881338,0.1532153212363454,0.5844380302780707,-0.23700820747931817,-0.24796010446870942,0.854903925645599,0.8967430846214213,0.05048123467273959,0.19308379261481498,0.39343900038297375
p_l10_s3_b3_e1_n120_tc50_buf2,"L=10, S=3, bins=3, E=1, top_n=120, tc50_buf2",10,3,3,1,120,0.39667687603688584,0.16125029371658225,0.13129726822133514,0.5076250837447485,-0.2836617037851441,-0.29297330033474633,0.9130175339341707,0.9388381203752343,0.032729983210695535,0.22265593278002005,0.39456779435358197
p_l20_s3_b2_e1_n80_tc50_buf2,"L=20, S=3, bins=2, E=1, top_n=80, tc50_buf2",20,3,2,1,80,0.39165015707690415,0.1902192847614851,0.14571108896405427,0.6031787986275243,-0.223576730527086,-0.23630884833986854,0.8625598866202426,0.9025722163483368,0.05073069740075422,0.2515763384324561,0.39547940787535013
p_l10_s5_b2_e1_n100_tc50_buf2,"L=10, S=5, bins=2, E=1, top_n=100, tc50_buf2",10,5,2,1,100,0.38879059492859935,0.16787686255266498,0.13677134161839022,0.5289524818416707,-0.26539153493780787,-0.27137203243638686,0.8886175606301572,0.9234252696952593,0.0372911006176649,0.1942101988115601,0.394620214477504
p_l40_s5_b2_e1_n80_tc50_buf2,"L=40, S=5, bins=2, E=1, top_n=80, tc50_buf2",40,5,2,1,80,0.37134800279947516,0.18669964934284264,0.15076117726511562,0.5823889269778073,-0.25487937395916355,-0.26101869103695374,0.8646493783047782,0.8999462496439554,0.055952530286248754,0.19553054178514803,0.3922784915102689
p_l40_s3_b2_e1_n80_tc50_buf2,"L=40, S=3, bins=2, E=1, top_n=80, tc50_buf2",40,3,2,1,80,0.35064990834470805,0.17755342551285339,0.14577838179672953,0.5471852928554433,-0.24122913392996775,-0.24723324456002715,0.8699487524952669,0.9037554083313977,0.05528762787646216,0.2192894912841778,0.3934084433106387
p_l10_s3_b2_e1_n100_tc50_buf2,"L=10, S=3, bins=2, E=1, top_n=100, tc50_buf2",10,3,2,1,100,0.33061980954546194,0.1578792504797261,0.12779489177896752,0.48741372944662853,-0.27733559619077286,-0.29200275371992057,0.9019372135434742,0.9289358778483897,0.04237118969042064,0.2195915501074769,0.3958446852750048
p_l10_s5_b3_e1_n80_tc50_buf2,"L=10, S=5, bins=3, E=1, top_n=80, tc50_buf2",10,5,3,1,80,0.28839647423610015,0.1695354949245153,0.13487561215010646,0.5403335861657599,-0.2638850101892542,-0.27646570296939377,0.8703867294120129,0.9060325684843247,0.053065946539561655,0.2082150293395197,0.3947081940185668
p_l10_s3_b3_e1_n100_tc50_buf2,"L=10, S=3, bins=3, E=1, top_n=100, tc50_buf2",10,3,3,1,100,0.2727171214739078,0.15381608852816797,0.12173969799621087,0.4814000439295222,-0.3000581859187084,-0.3138247817704771,0.9015445135850615,0.9290407046887778,0.04085876359649584,0.22831201831029202,0.39607537717189323
p_l10_s3_b2_e1_n80_tc50_buf2,"L=10, S=3, bins=2, E=1, top_n=80, tc50_buf2",10,3,2,1,80,0.223456089359344,0.15686668272705354,0.12708095750299875,0.48580174737741166,-0.2723752374544612,-0.2907282901295565,0.8783896899110374,0.9105577118034093,0.05583596149320477,0.2292278186778252,0.3927126759632487
p_l10_s5_b2_e1_n80_tc50_buf2,"L=10, S=5, bins=2, E=1, top_n=80, tc50_buf2",10,5,2,1,80,0.22190162560775806,0.15378030753363842,0.12336705391790925,0.477197228138297,-0.26047514021543117,-0.2710940882636472,0.8665422510013588,0.9058497268780398,0.04990218962115045,0.19340873858594582,0.3921752814201547
p_l10_s3_b3_e1_n80_tc50_buf2,"L=10, S=3, bins=3, E=1, top_n=80, tc50_buf2",10,3,3,1,80,0.11025937994104063,0.14395221743949424,0.11267556336968165,0.43876951092210337,-0.31610712619291703,-0.3307182702114301,0.8782611921194153,0.9119053743491222,0.051674696697124566,0.21905079977505687,0.39343766184053075
