fold,train_start_year,train_end_year,test_start_year,scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,train_rank
2,2021,2023,2024,p_l20_s5_b2_e1_n120_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=120, tc50_buf2",20,5,2,1,120,0.7395981161043053,0.20722414770204664,0.16989945518177563,0.9460102992400462,-0.12795418382364038,-0.13495388292167287,0.8860456929416043,0.9233079781330272,0.029689242283289643,0.17684443620553736,0.2031801131193295,5
2,2021,2023,2024,p_l20_s3_b2_e1_n100_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=100, tc50_buf2",20,3,2,1,100,0.7369439191667938,0.21019138914251775,0.1679309145649701,0.969200739599457,-0.12190177273980098,-0.12610005406486746,0.8759922203468924,0.9134341808422717,0.039513191262893294,0.1364880986226488,0.2036386894833614,6
2,2021,2023,2024,p_l20_s5_b3_e1_n80_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=80, tc50_buf2",20,5,3,1,80,0.700749010026773,0.23460275499250655,0.16586133133776637,1.0963250537956892,-0.11007042460229147,-0.11354541595293399,0.8424166574844194,0.885819783610263,0.05544027297216629,0.17351285093092414,0.20269833383180969,7
2,2021,2023,2024,p_l40_s3_b3_e1_n120_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=120, tc50_buf2",40,3,3,1,120,0.6526120114675554,0.17228287879909532,0.14266374644790747,0.7828138401202147,-0.11700115514470127,-0.11932086167589584,0.9014502956788806,0.9286406641299352,0.037304280162823424,0.14824196009765575,0.20579339260462448,8
2,2021,2023,2024,p_l10_s10_b3_e1_n120_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=120, tc50_buf2",10,10,3,1,120,0.6525474799251886,0.16678099051772968,0.14904521177687102,0.7038540065869943,-0.13070662561156546,-0.1338078312487223,0.9121232464802564,0.9349146004897011,0.03642421834787446,0.1200527898706538,0.20456228587022748,9
2,2021,2023,2024,p_l20_s5_b2_e1_n100_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=100, tc50_buf2",20,5,2,1,100,0.6395384705360952,0.2023952696823544,0.15819727858356725,0.9196324459179412,-0.12937980427941037,-0.1364389743204374,0.8651195069184084,0.9066230079852657,0.0394525290388665,0.15457339579246338,0.20322029473312736,10
2,2021,2023,2024,p_l10_s10_b3_e1_n100_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=100, tc50_buf2",10,10,3,1,100,0.6224687068484434,0.1799394978640718,0.154020490559307,0.7703317863748773,-0.13270797537874526,-0.1386726156893423,0.8954083751703118,0.9196679896000022,0.048229827588479546,0.13329007935683865,0.20559102908489962,11
2,2021,2023,2024,p_l40_s10_b3_e1_n120_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=120, tc50_buf2",40,10,3,1,120,0.618751947355238,0.17904897930176286,0.14912447415748176,0.759526915610343,-0.1354369989531211,-0.13930498137425695,0.9021108293863631,0.9290944254251369,0.03912612238863551,0.1764085035015784,0.19928551935244507,12
2,2021,2023,2024,p_l40_s5_b3_e1_n120_tc50_buf4,"L=40, S=5, bins=3, E=1, top_n=120, tc50_buf2",40,5,3,1,120,0.6095533116557372,0.16370225999639426,0.13840794189850714,0.7331895525044598,-0.11640486335259315,-0.11844334570221438,0.8995466201742432,0.9274706277042761,0.03770637147737616,0.16303096097052952,0.20430359372670814,13
2,2021,2023,2024,p_l20_s3_b3_e1_n100_tc50_buf4,"L=20, S=3, bins=3, E=1, top_n=100, tc50_buf2",20,3,3,1,100,0.6092288055886796,0.17660198934469346,0.1305828220421934,0.7791471997944,-0.11052146094504825,-0.11272005747379832,0.8795505379488329,0.9140553068632179,0.04215641056631163,0.12300691406966004,0.20466756115840717,14
2,2021,2023,2024,p_l40_s5_b2_e1_n120_tc50_buf4,"L=40, S=5, bins=2, E=1, top_n=120, tc50_buf2",40,5,2,1,120,0.6027557699155534,0.1687879224982974,0.14015155854211492,0.7563777821734246,-0.13336133274217343,-0.1356561900515334,0.9047505394279125,0.9299659398954012,0.038311042023362794,0.13833245495685317,0.2053355906255615,15
2,2021,2023,2024,p_l20_s3_b2_e1_n80_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=80, tc50_buf2",20,3,2,1,80,0.6014654947610476,0.21205782507719523,0.1553972512006574,0.9795510321691473,-0.1255702690007031,-0.12859363113264644,0.8522689692048565,0.8919332321830356,0.056620080603387954,0.16383607454414928,0.20313190209256934,16
2,2021,2023,2024,p_l40_s10_b2_e1_n120_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=120, tc50_buf2",40,10,2,1,120,0.5876039023662507,0.17820266849439748,0.14599208578226208,0.7441193522427754,-0.14404606897447442,-0.14812235809373686,0.9006000460681552,0.9266906035978582,0.04088777100246888,0.15603535494164314,0.2017910102321011,17
2,2021,2023,2024,p_l10_s10_b3_e1_n80_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=80, tc50_buf2",10,10,3,1,80,0.5848630493445286,0.19783828488254077,0.15813719547809701,0.8646866763286246,-0.12962365911657908,-0.13937883055690592,0.8685479070283054,0.8967100075961094,0.0641263491670942,0.14769510902150287,0.20453067844525544,18
2,2021,2023,2024,p_l20_s10_b3_e1_n120_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=120, tc50_buf2",20,10,3,1,120,0.5808766006531744,0.15784654733676667,0.12964100427950953,0.67940923661831,-0.12368918813648383,-0.12724455620128183,0.894353362964334,0.9286965427018455,0.030103029238447567,0.12136362258679709,0.20062745886189925,19
2,2021,2023,2024,p_l40_s5_b3_e1_n100_tc50_buf4,"L=40, S=5, bins=3, E=1, top_n=100, tc50_buf2",40,5,3,1,100,0.5747900037304513,0.16917916946681377,0.14109926162265674,0.7738515902601342,-0.11079374795076541,-0.1155075880368267,0.8786925681417035,0.9103586247761335,0.04796770632536708,0.16222084467255238,0.20511995567121372,20
2,2021,2023,2024,p_l40_s3_b2_e1_n120_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=120, tc50_buf2",40,3,2,1,120,0.5728568681068534,0.15482582821820995,0.1266344781957629,0.6594453092411584,-0.13306368866884977,-0.13458961882747456,0.9121527391244233,0.9351046123443277,0.03630430959569378,0.11050966112019299,0.20604443730983246,21
