fold,scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
2,walk_forward_selected,100000000,0.05,2024,52,0.03522175961020224,0.06447516899189902,0.9227591424861016,4.150145142157908
2,walk_forward_selected,100000000,0.1,2024,52,0.0333108623804208,0.06640563466691266,0.9439664693099175,2.9462706335162947
2,walk_forward_selected,100000000,0.2,2024,52,0.033131378252711174,0.06684788724383292,0.9484542410266658,2.7013615146418966
2,walk_forward_selected,300000000,0.05,2024,52,0.0048123909034165635,0.06189396643992763,0.7896784695369485,12.235165887598015
2,walk_forward_selected,300000000,0.1,2024,52,0.019805964015915833,0.07180452610394217,0.8909357239630834,6.038970006333634
2,walk_forward_selected,300000000,0.2,2024,52,0.022712459217299807,0.07702274898544884,0.935038702482398,3.4446688140941095
2,walk_forward_selected,500000000,0.05,2024,52,-0.010625725832111521,0.05652951642102743,0.6825304162577539,18.917408191176545
2,walk_forward_selected,500000000,0.1,2024,52,0.003915886487740883,0.07054967204215365,0.8219554666478296,10.236471923245563
2,walk_forward_selected,500000000,0.2,2024,52,0.015030973907440348,0.08094897500239003,0.9073667744496909,5.057298818680678
3,baseline,100000000,0.05,2025,51,0.6071912486691153,0.09042023642039661,0.9172335308791069,6.602600854857934
3,baseline,100000000,0.1,2025,51,0.6067488426926326,0.09064857410117969,0.9182417147268737,6.51241420087309
3,baseline,100000000,0.2,2025,51,0.6067186894119168,0.09065251876360558,0.9182322296291048,6.513044130778935
3,baseline,300000000,0.05,2025,51,0.5302071794148304,0.09355977715102486,0.8614472877317888,11.010167857220205
3,baseline,300000000,0.1,2025,51,0.5807113306375224,0.10278761449349597,0.9111553270479307,7.086156260050512
3,baseline,300000000,0.2,2025,51,0.5850981722877018,0.10428147395671529,0.9179263745696842,6.541448709354973
3,baseline,500000000,0.05,2025,51,0.44293702048112116,0.08546166433610174,0.7773849091905555,17.319671336011993
3,baseline,500000000,0.1,2025,51,0.5419557142338645,0.1054799535648246,0.8823486944415405,9.369606142393412
3,baseline,500000000,0.2,2025,51,0.56927364748115,0.11287561959726122,0.9151184907119274,6.777265930731772
3,tc50_buf2,100000000,0.05,2025,51,0.6588474965192317,0.061319840866934705,0.9201905015781441,4.217024552709834
3,tc50_buf2,100000000,0.1,2025,51,0.6601791388843681,0.061469961299752136,0.9219434903525859,4.120235049735843
3,tc50_buf2,100000000,0.2,2025,51,0.6599804884148801,0.06146479189514063,0.9217971525725147,4.128085937432876
3,tc50_buf2,300000000,0.05,2025,51,0.6160310004014835,0.06380925510113497,0.8515656877110187,8.043169279827525
3,tc50_buf2,300000000,0.1,2025,51,0.6410274397157907,0.06962077877751706,0.9114479829195666,4.698580860756392
3,tc50_buf2,300000000,0.2,2025,51,0.644707221454742,0.07070462852572372,0.921646963975746,4.136533684562519
3,tc50_buf2,500000000,0.05,2025,51,0.5663081661401201,0.05969806612267071,0.7572522309311991,13.486348653147772
3,tc50_buf2,500000000,0.1,2025,51,0.6173077285598982,0.07163653688022029,0.8759277764003757,6.676250882138
3,tc50_buf2,500000000,0.2,2025,51,0.631970159190969,0.07645238501241347,0.9168842151304881,4.399954357158281
3,tc50_buf3,100000000,0.05,2025,51,0.6609080766805877,0.061522440288987304,0.9187833861542557,4.304752322391275
3,tc50_buf3,100000000,0.1,2025,51,0.6531020676215509,0.0616663101226353,0.9206145098535735,4.202419605952307
3,tc50_buf3,100000000,0.2,2025,51,0.6528723756141603,0.06165913707381731,0.9204074557154115,4.21371386307525
3,tc50_buf3,300000000,0.05,2025,51,0.6402661030956045,0.06426745638533864,0.8470841715678247,8.39681899670157
3,tc50_buf3,300000000,0.1,2025,51,0.6722158465048009,0.06970320765561677,0.9070361273309527,4.956908907536054
3,tc50_buf3,300000000,0.2,2025,51,0.6396803198129153,0.07093614501234842,0.9202099268181666,4.225030347652962
3,tc50_buf3,500000000,0.05,2025,51,0.5794544781679387,0.06030608521343909,0.752358633191173,14.044299500517578
3,tc50_buf3,500000000,0.1,2025,51,0.6487928125628581,0.0719330748630396,0.8707338772286897,7.025715431373987
3,tc50_buf3,500000000,0.2,2025,51,0.6459365716607186,0.07661706133433395,0.9140228780495979,4.567992863027275
3,tc50_buf4,100000000,0.05,2025,51,0.6574935575392891,0.06161049134362365,0.9176163922034405,4.374703755931039
3,tc50_buf4,100000000,0.1,2025,51,0.6492472094821264,0.0617706875762018,0.919535329345651,4.267609468259418
3,tc50_buf4,100000000,0.2,2025,51,0.6491199113991153,0.0617734201237028,0.9195158556778308,4.268664697907661
3,tc50_buf4,300000000,0.05,2025,51,0.6424428474266788,0.06455884503208215,0.8448255030637989,8.59058214678881
3,tc50_buf4,300000000,0.1,2025,51,0.668595263314925,0.06987729315682754,0.9055613721238706,5.0498342505845315
3,tc50_buf4,300000000,0.2,2025,51,0.6359746300360125,0.071067673505116,0.9192754444817324,4.281990152184169
3,tc50_buf4,500000000,0.05,2025,51,0.5888785381042723,0.06082228924525603,0.7504592377432501,14.333253936173532
3,tc50_buf4,500000000,0.1,2025,51,0.6483108733186136,0.07218624055445716,0.8683918543817805,7.2026016560309065
3,tc50_buf4,500000000,0.2,2025,51,0.6426351068363534,0.07677483465601963,0.9127048480703202,4.64827743592404
3,walk_forward_selected,100000000,0.05,2025,51,0.6586367460460572,0.06130110133818704,0.9198038714843494,4.2382569232533935
3,walk_forward_selected,100000000,0.1,2025,51,0.6599666026103266,0.06145112869975701,0.9215557626826585,4.141490554915073
3,walk_forward_selected,100000000,0.2,2025,51,0.6597363769532434,0.061442888579195123,0.9213496989717603,4.1525907127242645
3,walk_forward_selected,300000000,0.05,2025,51,0.6157837410958378,0.06381031286668125,0.8510791974679743,8.074816057342158
3,walk_forward_selected,300000000,0.1,2025,51,0.6407775840681409,0.0695898143294752,0.9109072797857044,4.728523805574591
3,walk_forward_selected,300000000,0.2,2025,51,0.6444748468849142,0.07067723001432641,0.9212015075774596,4.160935862383162
3,walk_forward_selected,500000000,0.05,2025,51,0.5655982486783999,0.05969351243207902,0.7569648015295858,13.505350359520397
3,walk_forward_selected,500000000,0.1,2025,51,0.6170597670550519,0.07162270656411547,0.8753327094313988,6.711842379406289
3,walk_forward_selected,500000000,0.2,2025,51,0.6317870187859609,0.07642602645604754,0.9164970981677805,4.421291535422472
