scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l20_s5_b2_e1_n80_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=80, tc50_buf2",20,5,2,1,80,0.582729863889221,0.22538762242270854,0.17700434440126833,0.7175991979713047,-0.22022599188525202,-0.22862070364355158,0.8528166710806935,0.894397595269695,0.0501710608705429,0.21625842312724597,0.39962412565101635
p_l20_s10_b2_e1_n100_tc50_buf4,"L=20, S=10, bins=2, E=1, top_n=100, tc50_buf2",20,10,2,1,100,0.5738453848729194,0.19334941252120766,0.161707713048592,0.5982233979444633,-0.23673555425633014,-0.24777368665928845,0.8850511706289468,0.9172920895454154,0.041698492042630986,0.18144332057338428,0.39706675784840456
p_l20_s3_b3_e1_n80_tc50_buf4,"L=20, S=3, bins=3, E=1, top_n=80, tc50_buf2",20,3,3,1,80,0.5511975273531046,0.2146348779632733,0.16652160008123928,0.6973272350456038,-0.21418149673205042,-0.2238609071111307,0.8581468211244607,0.8966636415246226,0.05215764233034837,0.21072633586615003,0.4004456058705854
p_l40_s10_b2_e1_n100_tc50_buf4,"L=40, S=10, bins=2, E=1, top_n=100, tc50_buf2",40,10,2,1,100,0.5481771781401108,0.19430674879394325,0.16014702029122097,0.5798390831748166,-0.24390099515274727,-0.2495313776575424,0.884151406812314,0.9169628534161389,0.04282723303122596,0.20434638612218625,0.3878993744859604
p_l40_s3_b3_e1_n80_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=80, tc50_buf2",40,3,3,1,80,0.5434700648136973,0.2233689044901135,0.17122632871673016,0.7120907208205511,-0.24365922102125012,-0.2484440446973316,0.8635139331637709,0.8988289777575214,0.05426174445053346,0.24203036690162633,0.3969547280781114
p_l40_s10_b3_e1_n80_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=80, tc50_buf2",40,10,3,1,80,0.5376841809242022,0.21607238114092067,0.16344789040194652,0.657728339621949,-0.22884990745381126,-0.2347979232277959,0.8627970429252874,0.8980206999035948,0.05612546334233843,0.20798816405759704,0.38942594757028703
p_l10_s10_b2_e1_n80_tc50_buf4,"L=10, S=10, bins=2, E=1, top_n=80, tc50_buf2",10,10,2,1,80,0.5323968343033233,0.2070778286710459,0.17224781850819748,0.6701745502128946,-0.23627153049981983,-0.2474135216495823,0.8637193577019319,0.8985694300768147,0.054541184912196575,0.18735917826514834,0.40060547360697474
p_l20_s10_b3_e1_n80_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=80, tc50_buf2",20,10,3,1,80,0.5309751936340072,0.20663782512896922,0.1637851867417699,0.6569474669629094,-0.20988329071141074,-0.21599234803677314,0.8614161015886653,0.8981811650380871,0.05336416102839869,0.21440578252232875,0.39762864767957345
p_l10_s5_b2_e1_n100_tc50_buf4,"L=10, S=5, bins=2, E=1, top_n=100, tc50_buf2",10,5,2,1,100,0.5249497448485118,0.18196441290205911,0.16042394020859518,0.5743599129228983,-0.24678262756293837,-0.2587623921446184,0.8865128912172254,0.9209313297719959,0.03714602894615202,0.21093793733804525,0.3986929285438256
p_l10_s3_b2_e1_n120_tc50_buf4,"L=10, S=3, bins=2, E=1, top_n=120, tc50_buf2",10,3,2,1,120,0.5227639073534396,0.17259109648152549,0.14660977837816747,0.5426133497148667,-0.2757929451946475,-0.28540103015524754,0.9089569092141693,0.9358209150488696,0.0322824224712308,0.1968725411258112,0.39814660863091306
p_l40_s5_b2_e1_n100_tc50_buf4,"L=40, S=5, bins=2, E=1, top_n=100, tc50_buf2",40,5,2,1,100,0.5105435773171666,0.19082691765381515,0.15928395990313504,0.5912107381567783,-0.27627804022721053,-0.2813232212226141,0.8899042709818042,0.919371210085945,0.04312639004929119,0.2032678179600256,0.3962943359032402
